productId,supplierId,supplierName,name,category,currentPrice,originalPrice,cost,suggestedPrice,suggestedMargin,stock,maxStock,minStockLevel,expirationDate,daysUntilExpiry,isPerishable,sku,status,lastUpdated,updatedAt,margin,priceChange,demand,clearanceRate,wasteReduction,mlScore,priceFactors.expirationUrgency,priceFactors.stockLevel,priceFactors.timeOfDay,priceFactors.demandForecast,priceFactors.competitorPrice,priceFactors.seasonality,priceFactors.marketTrend,optimization.wasteReduction,optimization.clearanceRate,optimization.revenueSaved,optimization.lastOptimization
nike-001,nike-supplier-001,Nike Inc.,Nike Air Jordan 1 Retro High OG,Footwear,14939.17,16600.0,7885.0,15355.0,49.0,35,80,10,,,False,NIKE-001,active,2025-07-07T11:09:39.702971+00:00,2025-07-07T11:09:39.702971+00:00,47.2,-10.0,90,56,93,87,0,50,40,90,15124.675,70,85,93,56,14554.05,2025-07-07T11:09:39.702971+00:00
nike-002,nike-supplier-001,Nike Inc.,Nike Pegasus Plus 'Faith Kipyegon',Running Shoes,11619.17,13280.0,6640.0,12035.0,45.0,45,100,15,,,False,NIKE-002,active,2025-07-07T11:09:39.703021+00:00,2025-07-07T11:09:39.703021+00:00,42.9,-12.5,85,55,89,74,0,40,30,85,11854.475,50,75,89,55,18712.35,2025-07-07T11:09:39.703021+00:00
nike-003,nike-supplier-001,Nike Inc.,Nike Phantom GX Elite,Football Boots,20749.17,22410.0,11620.0,21580.0,46.0,20,60,8,,,False,NIKE-003,active,2025-07-07T11:09:39.703043+00:00,2025-07-07T11:09:39.703043+00:00,44.0,-7.4,90,67,92,77,0,20,50,90,21256.3,60,78,92,67,16616.6,2025-07-07T11:09:39.703043+00:00
nike-004,nike-supplier-001,Nike Inc.,Nike ZoomX Vaporfly NEXT 3,Athletic Footwear,22409.17,24485.0,12865.0,22825.0,44.0,18,50,5,,,False,NIKE-004,active,2025-07-07T11:09:39.703056+00:00,2025-07-07T11:09:39.703056+00:00,42.6,-8.5,95,64,95,94,0,30,60,95,22482.625,80,82,95,64,7484.94,2025-07-07T11:09:39.703056+00:00
nike-005,nike-supplier-001,Nike Inc.,Nike Air Max Pulse,Lifestyle Shoes,14109.17,15770.0,8300.0,14525.0,43.0,50,120,20,,,False,NIKE-005,active,2025-07-07T11:09:39.703066+00:00,2025-07-07T11:09:39.703066+00:00,41.2,-10.5,70,58,93,94,0,60,40,70,14307.125,60,65,93,58,20791.5,2025-07-07T11:09:39.703066+00:00
nike-006,nike-supplier-001,Nike Inc.,Nike Invincible 3,Running Shoes,15769.17,17430.0,9130.0,16185.0,44.0,28,90,12,,,False,NIKE-006,active,2025-07-07T11:09:39.703077+00:00,2025-07-07T11:09:39.703077+00:00,42.1,-9.5,88,69,94,72,0,30,50,88,15942.225,50,70,94,69,11643.24,2025-07-07T11:09:39.703077+00:00
adidas-001,adidas-supplier-001,Adidas AG,Adidas Ultraboost 23,Running Shoes,15709.17,18260.0,8300.0,16185.0,49.0,40,100,15,,,False,ADIDAS-001,active,2025-07-07T11:09:39.703088+00:00,2025-07-07T11:09:39.703088+00:00,47.2,-14.0,88,60,90,70,0,40,50,88,15942.225,70,82,90,60,19033.2,2025-07-07T11:09:39.703088+00:00
adidas-002,adidas-supplier-001,Adidas AG,Adidas Samba OG,Lifestyle Shoes,8299.17,9130.0,4150.0,8715.0,52.0,60,150,20,,,False,ADIDAS-002,active,2025-07-07T11:09:39.703160+00:00,2025-07-07T11:09:39.703160+00:00,50.0,-9.1,75,60,86,80,0,60,40,75,8584.275,65,70,86,60,24949.8,2025-07-07T11:09:39.703160+00:00
adidas-003,adidas-supplier-001,Adidas AG,Adidas Predator Elite Firm Ground,Football Boots,20749.17,22410.0,10790.0,21165.0,49.0,25,60,10,,,False,ADIDAS-003,active,2025-07-07T11:09:39.703184+00:00,2025-07-07T11:09:39.703184+00:00,48.0,-7.4,85,58,86,86,0,30,50,85,20847.525,75,78,86,58,10395.75,2025-07-07T11:09:39.703184+00:00
adidas-004,adidas-supplier-001,Adidas AG,Adidas Adilette Comfort Slides,Footwear,3311.17,4150.0,1494.0,3486.0,57.0,80,200,30,,,False,ADIDAS-004,active,2025-07-07T11:09:39.703202+00:00,2025-07-07T11:09:39.703202+00:00,54.9,-20.2,60,60,95,92,0,70,30,60,3433.71,50,60,95,60,13986.4,2025-07-07T11:09:39.703202+00:00
